,Unnamed: 0,GENRE,authorKorean,authorEnglish,workTitle,translator,sourceTitle,publisher,yearCreated,authorEnglish2
12,12,Fiction,강석경,Kang Sok-kyong,A Human Affection,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
13,13,Fiction,강석경,Kang Sok-kyong,A Morning Road,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
14,14,Fiction,강석경,Kang Sok-kyong,A Passing Storm,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
15,15,Fiction,강석경,Kang Sŏk-kyŏng,A Room In The Woods,"Bruce Fulton, Ju-Chan Fulton",Words Of Farewell: Stories By Korean Women Writers,Seal Press,1989.0,Kang Sok kyong/Kang Sok-kyong/Kang Sŏk-kyŏng
16,16,Fiction,강석경,Kang Sŏk-kyŏng,Days And Dreams,"Bruce Fulton, Ju-Chan Fulton",Words Of Farewell: Stories By Korean Women Writers,Seal Press,1989.0,Kang Sok kyong/Kang Sok-kyong/Kang Sŏk-kyŏng
17,17,Fiction,강석경,Kang Sok-kyong,Every Flower Has Its Own Seeds,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
18,18,Fiction,강석경,Kang Sok-kyong,The Land Of Survival,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
19,19,Fiction,강석경,Kang Sok-kyong,The Rainy Season,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
20,20,Fiction,강석경,Kang Sok-kyong,The Root Drifting In The Sky,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
21,21,Fiction,강석경,Kang Sok-kyong,The Stream Thawed,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
22,22,Fiction,강석경,Kang Sok-kyong,The Valley Nearby,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
61,61,Fiction,공지영,Kong Chi-yŏng,What's To Be Done? (1992),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Kong Chi yong/Kong Chi-yong/Kong Chi-yŏng
62,62,Fiction,공지영,Kong Chi-yŏng,What's To Be Done? (1992),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Kong Chi yong/Kong Chi-yong/Kong Chi-yŏng
101,101,Fiction,김동리,Kim Tong-ni,Loess Valley,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kim Tong ni/Kim Tong-ni
102,102,Fiction,김동리,Kim Tong-ni,Loess Valley (1939),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Kim Tong ni/Kim Tong-ni
103,103,Fiction,김동리,Kim Tong-ni,Loess Valley (1939),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Kim Tong ni/Kim Tong-ni
105,105,Fiction,김동리,Kim Dong-ni,Picture Of A Shaman Sorceress, ,Modern Far Eastern Stories,Heinemann,1978.0,Kim Dong ni/Kim Dong-ni
106,106,Fiction,김동리,Kim Dong-ni,Picture Of A Shaman Sorceress,Chung Chong-Wha,Modern Korean Literature: An Anthology 1908-1965,Kegan Paul International,1995.0,Kim Dong ni/Kim Dong-ni
111,111,Fiction,김동리,Kim Tong-ni,The Cry Of Magpies,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kim Tong ni/Kim Tong-ni
112,112,Fiction,김동리,Kim Dong-ni,The Marsh,Chung Chong-Wha,Modern Korean Literature: An Anthology 1908-1965,Kegan Paul International,1995.0,Kim Dong ni/Kim Dong-ni
114,114,Fiction,김동리,Kim Tong-ni,The Rock,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kim Tong ni/Kim Tong-ni
117,117,Fiction,김동리,Kim Tong-ni,The Shaman Painting (1936),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Kim Tong ni/Kim Tong-ni
118,118,Fiction,김동리,Kim Tong-ni,The Shaman Painting (1936),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Kim Tong ni/Kim Tong-ni
119,119,Fiction,김동리,Kim Dong-ni,The Shaman Paiting, ,Modern Far Eastern Stories,Heinemann,1978.0,Kim Dong ni/Kim Dong-ni
120,120,Fiction,김동리,Kim Tong-ni,The Tableau Of A Shaman Sorceress,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kim Tong ni/Kim Tong-ni
121,121,Fiction,김동리,Kim Tong-ni,The Visit (1951),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Kim Tong ni/Kim Tong-ni
122,122,Fiction,김동리,Kim Tong-ni,Tungsin-Bul,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kim Tong ni/Kim Tong-ni
123,123,Fiction,김동리,Kim Tong-ni,Two Reservists,John Holstein,Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kim Tong ni/Kim Tong-ni
137,137,Fiction,김동인,Kim Dongin,The Post Horse,Chong Jong-Wha,Meetings And Farewells: Modern Korean Stories,University of Queensland Press,1980.0,Kim Dongin
141,141,Fiction,김동인,Kim Dongin,The Rock,Chong Jong-Wha,Meetings And Farewells: Modern Korean Stories,University of Queensland Press,1980.0,Kim Dongin
185,185,Fiction,김승옥,Kim Sung-ok,A Cup Of Coffee,Chong Jong-Wha,Meetings And Farewells: Modern Korean Stories,University of Queensland Press,1980.0,Kim Sung ok/Kim Sung-ok
188,188,Fiction,김승옥,Kim Sung-ok,Good Bargain,"Yi Yong-Gol, Sister Janice Hilbu",Home-Coming And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Kim Sung ok/Kim Sung-ok
190,190,Fiction,김승옥,Kim Sung-ok,Operation,"Yi Yong-Gol, Sister Janice Hilbu",Home-Coming And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Kim Sung ok/Kim Sung-ok
