,GENRE,authorKorean,authorEnglish,workTitle,workTitleKorean,translator,sourceTitle,publisher,yearCreated,ISBN,authorEnglish2
0,Poetry,서정학,Seo Jung Hak,The Cheapest France In Town,동네에서 제일 싼 프랑스,Megan Sungyoon,,World Poetry Books,2023,9781954218147,Seo Jung Hak
1,Poetry,최지인,Choi Ji-In,Am I Not Your Sin,당신의 죄는 내가 아닙니까,Stella Kim,,Asia publishers,2023,9791156626398,Choi Ji In/Choi Ji-In
2,Poetry,김사이,Kim Sayi,Poverty Must Persist,가난은 유지되어야 한다,Sunnie Chae,,Asia publishers,2023,9791156626381,Kim Sayi
3,Poetry,신달자,Shin Dal-ja,BUKCHON,북촌,Cho Young-Shil,,Homa & Sekey Books,2023,9781622461134,Shin Dal ja/Shin Dal-ja
4,Poetry,김현,Kim Hyun,Glory Hole,글로리홀,"Suhyun J. Ahn,Archana Madhavan",,Seagull Books,2022,9780857429872,Kim Hyun
5,Poetry,황인경,Hwang Inkyung (Cecily Hwang),The Birth of Pearl,진주의 탄생,Inkyung Hwang(Cecily Hwang),,Nexen Media,2021,9791190583596,Hwang Inkyung (Cecily Hwang)
6,Poetry,김혜순,Kim Hyesoon,Phantom Pain Wings,날개 환상통,Don Mee Choi,,New Directions,2023,9780811231718,Kim Hyesoon
7,Poetry,김혜순,Kim Hyesoon,Phantom Pain Wings,날개 환상통,Don Mee Choi,,New Directions*,2023,9780811231725,Kim Hyesoon
8,Poetry,신동옥,Shin Dong-ok,Encore,앙코르,Jeon Seung-hee,,Asia publishers,2022,9791156626206,Shin Dong ok/Shin Dong-ok
9,Poetry,김행숙,Kim Haengsook,Human Time,,"Léo-Thomas Brylowski,Hannah Hertzog,Susan K,Jiyoon Lee, Joanne Park,Soeun Seo,Soohyun Yang",,Black Ocean,2023,9781939568694,Kim Haengsook
10,Poetry,정우신,Jeong Woo-shin,I'll Give You All My Promenade,내가 가진 산책길을 다 줄게,Susan K,,Asia publishers,2022,9791156626169,Jeong Woo shin/Jeong Woo-shin
11,Poetry,임솔아,Lim Solah,Grotesque weather and good people,괴괴한 날씨와 착한 사람들,"Oh Eunkyung,Olan Munson",,Black Ocean,2022,9781939568434,Lim Solah
12,Poetry,나태주,Na Tae Joo,I See You Like I See a Flower,꽃을 보듯 너를 본다,"Ma. Kristina Carla Rico,Kyung-min Bae",,Adarna house,2022,9789715089050,Na Tae Joo
13,Poetry,마종기,Mah Chonggi ,Invisible Land of Love,,Youngshil Cho,,Homa & Sekey Books,2022,9781622461035,Mah Chonggi 
14,Poetry,이원,Yi Won,The World's Lightest Motorcycle,세상에서 가장 가벼운 오토바이,"E. J. Koh,Cancio-Bello,Marci Calabretta",,Zephyr Press,2021,9781938890840,Yi Won
15,Poetry,이영주,Lee Young-ju,Cold Candies:Selected Poems of Lee Young-ju,,Jae Kim,,Black Ocean,2021,9781939568403,Lee Young ju/Lee Young-ju
16,Poetry,김근,Kim Keun,Beginning the End,끝을 시작하기,Deborah Kim,,Asia publishers,2021,9791156625667,Kim Keun
17,Poetry,이설야,Lee Sul-ya,Cave Boys,굴 소년들,Brother Anthony of Taize,,Asia publishers,2021,9791156625674,Lee Sul ya/Lee Sul-ya
18,Poetry,김성규,Kim Sungkyu,Suicide Parasite,자살충,"YoungShil Ji,Daniel T. Parker",,Asia publishers,2021,9791156625445,Kim Sungkyu
19,Poetry,황규관,Hwang Gyu-gwan,Tiger Swallowtail,호랑나비,Jeon Seung-hee,,Asia publishers,2021,9791156625483,Hwang Gyu gwan/Hwang Gyu-gwan
20,Poetry,이소호,Lee Soho,Catcalling,캣콜링,Soje,,Open Letter,2021,9781948830386,Lee Soho
21,Poetry,이소호,Lee Soho,Catcalling,캣콜링,Soje,,Open Letter*,2021,9781948830478,Lee Soho
22,Poetry,문보영,Moon Bo Young,Pillar of Books,책기둥,Hedgie Choi,,Black Ocean,2021,9781939568397,Moon Bo Young
23,Poetry,김수열,Kim Soo-yeol,Homo Maskus,호모 마스크스,Brother Anthony of Taize,,Asia publishers,2020,9791156625278,Kim Soo yeol/Kim Soo-yeol
