,GENRE,authorKorean,authorEnglish,workTitle,translator,sourceTitle,publisher,yearCreated,authorEnglish2
0,Fiction,강경애,Kang Kyung-ae, ,Sora Kim-Russell,Broken Strings,Literature Translation Institute of Korea*,2013.0,Kang Kyung ae/Kang Kyung-ae
1,Fiction,강경애,Kang Kyŏng-ae, ,Samuel Perry,From Wonso Pond,The Feminist Press,2009.0,Kang Kyong ae/Kang Kyong-ae/Kang Kyŏng-ae
2,Fiction,강경애,Kang Kyung-ae, ,Sora Kim-Russell,Mother And Child,Literature Translation Institute of Korea*,2014.0,Kang Kyung ae/Kang Kyung-ae
3,Fiction,강경애,Kang Kyeong-ae, ,Anton Hur,The Underground Village,Honford Star,2018.0,Kang Kyeong ae/Kang Kyeong-ae
4,Fiction,강경애,Kang kyong-ae, ,Suh Ji-Moon,The Underground Village : Volume 090,Asia publishers,2014.0,Kang kyong ae/Kang kyong-ae
5,Fiction,강경애,Kang Kyŏng-ae,"Darkness (Odum, 1937)",Ruth Barraclough,Rat Fire: Korean Stories From The Japanese Empire,Cornell East Asia Series,2013.0,Kang Kyong ae/Kang Kyong-ae/Kang Kyŏng-ae
6,Fiction,강경애,Kang Kyung-ae,Manuscript Payment (1935),Yung-Hee Kim,Gendered Landscapes: Short Fiction By Modern & Contemporary Korean Women Novelists,Cornell East Asia Series,2017.0,Kang Kyung ae/Kang Kyung-ae
7,Fiction,강경애,Kang Kyŏng-ae,"Salt (Sogŭm, 1934)",Jin-Kyung Lee,Rat Fire: Korean Stories From The Japanese Empire,Cornell East Asia Series,2013.0,Kang Kyong ae/Kang Kyong-ae/Kang Kyŏng-ae
8,Fiction,강경애,Kang Kyong-ae,The Underground Village,"So Chi-Mun, James Wade",Hospital Room 205 And Other Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kang Kyong ae/Kang Kyong-ae
9,Fiction,강경애,Kang Kyong-Ae,The Underground Village, ,"Korean Literature Today, V.5 No.4, P.62",International P.E.N,2000.0,Kang Kyong Ae/Kang Kyong-Ae
10,Fiction,강경애,Kang Kyong-ae,The Underground Village,Suh Ji-Moon,The Rainy Spell And Other Korean Stories,Onyx Press,1983.0,Kang Kyong ae/Kang Kyong-ae
