,Unnamed: 0,GENRE,authorKorean,authorEnglish,workTitle,translator,sourceTitle,publisher,yearCreated,authorEnglish2
5,5,Fiction,강경애,Kang Kyŏng-ae,"Darkness (Odum, 1937)",Ruth Barraclough,Rat Fire: Korean Stories From The Japanese Empire,Cornell East Asia Series,2013.0,Kang Kyong ae/Kang Kyong-ae/Kang Kyŏng-ae
7,7,Fiction,강경애,Kang Kyŏng-ae,"Salt (Sogŭm, 1934)",Jin-Kyung Lee,Rat Fire: Korean Stories From The Japanese Empire,Cornell East Asia Series,2013.0,Kang Kyong ae/Kang Kyong-ae/Kang Kyŏng-ae
8,8,Fiction,강경애,Kang Kyong-ae,The Underground Village,"So Chi-Mun, James Wade",Hospital Room 205 And Other Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kang Kyong ae/Kang Kyong-ae
10,10,Fiction,강경애,Kang Kyong-ae,The Underground Village,Suh Ji-Moon,The Rainy Spell And Other Korean Stories,Onyx Press,1983.0,Kang Kyong ae/Kang Kyong-ae
11,11,Fiction,강경애,Kang Kyŏng-ae,The Underground Village,Suh Ji-Moon,The Rainy Spell And Other Korean Stories,M.E. Sharpe,1998.0,Kang Kyong ae/Kang Kyong-ae/Kang Kyŏng-ae
12,12,Fiction,강석경,Kang Sok-kyong,A Human Affection,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
13,13,Fiction,강석경,Kang Sok-kyong,A Morning Road,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
14,14,Fiction,강석경,Kang Sok-kyong,A Passing Storm,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
15,15,Fiction,강석경,Kang Sŏk-kyŏng,A Room In The Woods,"Bruce Fulton, Ju-Chan Fulton",Words Of Farewell: Stories By Korean Women Writers,Seal Press,1989.0,Kang Sok kyong/Kang Sok-kyong/Kang Sŏk-kyŏng
16,16,Fiction,강석경,Kang Sŏk-kyŏng,Days And Dreams,"Bruce Fulton, Ju-Chan Fulton",Words Of Farewell: Stories By Korean Women Writers,Seal Press,1989.0,Kang Sok kyong/Kang Sok-kyong/Kang Sŏk-kyŏng
17,17,Fiction,강석경,Kang Sok-kyong,Every Flower Has Its Own Seeds,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
18,18,Fiction,강석경,Kang Sok-kyong,The Land Of Survival,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
19,19,Fiction,강석경,Kang Sok-kyong,The Rainy Season,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
20,20,Fiction,강석경,Kang Sok-kyong,The Root Drifting In The Sky,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
21,21,Fiction,강석경,Kang Sok-kyong,The Stream Thawed,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
22,22,Fiction,강석경,Kang Sok-kyong,The Valley Nearby,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
25,25,Fiction,강신재,Kang Sin-jea,Another Eve,Kim Se-Yong,Hospital Room 205 And Other Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kang Sin jea/Kang Sin-jea
26,26,Fiction,강신재,Kang Sin-jae,Nursery Tale For A Dreary Day,Marshall R. Pih,Hospital Room 205 And Other Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kang Sin jae/Kang Sin-jae
27,27,Fiction,강신재,Kang Sin-jae,The Mist (1950),Kim Yung-Hee,Questioning Minds: Short Stories By Modern Korean Women Writers,University of Hawaii Press,2010.0,Kang Sin jae/Kang Sin-jae
28,28,Fiction,강신재,Kang Shinjae,The Young Elm Tree,Jin-Young Choi,Unspoken Voices,Homa & Sekey,2002.0,Kang Shinjae
29,29,Fiction,강신재,Kang Sinjae,The Young Zelkova,Song Yoin,Flowers Of Fire: Twentieth-Century Korean Stories,The University Press of Hawaii,1974.0,Kang Sinjae
30,30,Fiction,강신재,Kang Shin-jae,The Young Zelkova Tree,Shin Hyun-Song,Modern Korean Literature: An Anthology 1908-1965,Kegan Paul International,1995.0,Kang Shin jae/Kang Shin-jae
31,31,Fiction,강신재,Kang Shin-jae,The Young Zelkova Tree,Shin Hyun Song,Modern Short Stories From Korea,Heinemann Educational Books,1980.0,Kang Shin jae/Kang Shin-jae
34,34,Fiction,강용준,Kang Yong-jun,Their Share Of Life,Kim Seong-Kon,Anthology Of Korean Literary,Dong-Suh Munhaksa,1988.0,Kang Yong jun/Kang Yong-jun
41,41,Fiction,계용묵,Kye Yong-muk,Adada The Idiot,Morgan E. Clippinger,The Unenlightened And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers/Pace International Research, Inc.",1983.0,Kye Yong muk/Kye Yong-muk
42,42,Fiction,계용묵,Kye Yong-muk,"Adada, The Idiot",Hong Myoung-Hee,Korean Short Stories,Il Ji Sa,1975.0,Kye Yong muk/Kye Yong-muk
43,43,Fiction,고병삼,Ko Byong Sam,Unfinished Sculpture, ,Korean Short Stories: A Collection From North Korea,Fredonia Books,2003.0,Ko Byong Sam
47,47,Fiction,공선옥,Gong Sun-ok,People I Left In Shanghai,Jeon Seung-Hee,"Storytelling Asia, V.9 No.1",Asia Publishing Co,2014.0,Gong Sun ok/Gong Sun-ok
50,50,Fiction,공선옥,Kong Sŏn-ok,The Flowering Of Our Lives,"Bruce Fulton, Ju-Chan Fulton",The Future Of Silence: Fiction By Korean Women,Zephyr press,2016.0,Kong Son ok/Kong Son-ok/Kong Sŏn-ok
